Full Name,Email,Phone Number,Left Date,Department,Position,Company
Faisal Al-Othman,faisal.al-othman@example.com,58807750,9/30/2015,Quality Assurance,Quality Assurance Engineer,SABIC
Saif Al-Subaie,saif.al-subaie@example.com,55303187,9/23/2015,Legal,Product Manager,Almarai
Omar Al-Khalid,omar.al-khalid@example.com,54669206,09/12/2015,Quality Assurance,Support Specialist,Almarai
Talal Al-Subaie,talal.al-subaie@example.com,54259215,09/10/2015,Business Development,HR Specialist,Saudia
Turki Al-Otaibi,turki.al-otaibi@example.com,59423588,8/25/2015,Procurement,Manager,Almarai
Saif Al-Anazi,saif.al-anazi@example.com,58272530,8/21/2015,Customer Support,Support Specialist,Al Rajhi Bank
Nasser Al-Saud,nasser.al-saud@example.com,55481701,8/17/2015,Marketing,Product Manager,SABIC
Mazin Al-Sharif,mazin.al-sharif@example.com,58325205,8/17/2015,Customer Support,Software Engineer,Saudi Airlines
Adel Al-Dosari,adel.al-dosari@example.com,59116447,8/16/2015,Training,Senior Manager,Saudi Ports Authority
Bader Al-Anazi,bader.al-anazi@example.com,55843431,8/14/2015,Quality Assurance,Support Specialist,Saudi Electricity Company
Talal Al-Rajhi,talal.al-rajhi@example.com,51789815,08/09/2015,Customer Success,Legal Advisor,Al Rajhi Bank
Fahad Al-Shammari,fahad.al-shammari@example.com,53675646,7/21/2015,Human Resources,Accountant,Saudi Aramco
Khalifah Al-Qahtani,khalifah.al-qahtani@example.com,55416255,7/20/2015,Logistics,Procurement Specialist,Saudi Electricity Company
Talha Al-Subaie,talha.al-subaie@example.com,59488555,7/15/2015,Product Management,Engineer,Ma’aden
Abdulaziz Al-Faisal,abdulaziz.al-faisal@example.com,58994382,07/10/2015,Research and Development,IT Specialist,Saudia
Khalifah Al-Juhani,khalifah.al-juhani@example.com,54291558,07/04/2015,Information Technology,Senior Manager,National Commercial Bank
Fahad Al-Juhani,fahad.al-juhani@example.com,51679212,6/29/2015,Sales,Assistant Manager,SABIC
Mishal Al-Qahtani,mishal.al-qahtani@example.com,57920407,6/22/2015,Product Management,Quality Assurance Engineer,National Commercial Bank
Hassan Al-Dosari,hassan.al-dosari@example.com,59874915,06/12/2015,Training,Quality Assurance Engineer,Saudi Aramco
Nasser Al-Rashid,nasser.al-rashid@example.com,56664219,06/06/2015,Logistics,IT Specialist,Alinma Bank
